,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
162,Damian Lillard,2023,46.72,58,0.4177215189873418,37.68,29,0.32926829268292684,0.0
163,De'Aaron Fox,2023,37.46,71,0.6075949367088608,34.6,59,0.36585365853658536,0.0
164,DeMar DeRozan,2023,36.66,72.0,0.4810126582278481,40.019999999999996,76.0,0.5609756097560976,33.04
165,Domantas Sabonis,2023,42.72,77.0,0.6075949367088608,39.66,62.0,0.36585365853658536,0.0
166,Donovan Mitchell,2023,38.74,68.0,0.625,37.3,67.0,0.5975609756097561,37.5
167,Giannis Antetokounmpo,2023,52.1,63,0.7215189873417721,50.78,67,0.6219512195121951,56.9
168,Ja Morant,2023,43.2,60,0.6329113924050633,42.28,57,0.6829268292682927,48.46
169,Jaren Jackson Jr.,2023,27.240000000000002,61,0.6329113924050633,24.58,78,0.6829268292682927,24.64
170,Jaylen Brown,2023,38.94,66,0.6835443037974683,35.120000000000005,66,0.6219512195121951,35.58
171,Jayson Tatum,2023,46.28,73,0.6835443037974683,41.78,76,0.6219512195121951,41.08
172,Joel Embiid,2023,50.58,65,0.6582278481012658,49.68,68,0.6219512195121951,38.96
173,Jrue Holiday,2023,33.96,66.0,0.7215189873417721,31.86,67.0,0.6219512195121951,33.620000000000005
174,Julius Randle,2023,42.019999999999996,77.0,0.5822784810126582,38.1,72.0,0.45121951219512196,0.0
175,Kevin Durant,2023,43.14,46,0.5569620253164557,46.459999999999994,55,0.5365853658536586,40.82
176,Kyrie Irving,2023,39.72,59.0,0.46835443037974683,39.64,29.0,0.5365853658536586,34.019999999999996
177,Lauri Markkanen,2023,38.2,66.0,0.45569620253164556,23.200000000000003,61.0,0.5365853658536586,0.0
178,LeBron James,2023,47.14,52.0,0.5189873417721519,47.58,56.0,0.4024390243902439,0.0
179,Luka Dončić,2023,52.959999999999994,64,0.46835443037974683,49.75999999999999,65,0.6341463414634146,51.14
180,Nikola Jokić,2023,50.84,68,0.6582278481012658,53.14,74,0.5853658536585366,53.8
181,Pascal Siakam,2023,40.76,69,0.5063291139240507,39.36,68,0.5853658536585366,38.4
182,Paul George,2023,37.24,56.0,0.5189873417721519,39.42,31.0,0.5121951219512195,0.0
183,Shai Gilgeous-Alexander,2023,43.739999999999995,67.0,0.475,37.58,56.0,0.2926829268292683,0.0
184,Stephen Curry,2023,44.48,54,0.525,39.3,64,0.6463414634146342,40.72
185,Tyrese Haliburton,2023,37.620000000000005,56.0,0.43037974683544306,29.939999999999998,77.0,0.3048780487804878,0.0
186,Zion Williamson,2023,39.92,29,0.5063291139240507,0.0,0,0.0,0.0
